taxa	samplingDate	samplingCountry
hCoV-19/Belgium/rega-0428427/2020|EPI_ISL_476994|Belgium|2020-04-28	2020.3224043715848	Belgium
hCoV-19/Belgium/UGent-124/2020|EPI_ISL_481221|Belgium|2020-04-24	2020.311475409836	Belgium
hCoV-19/Belgium/UGent-125/2020|EPI_ISL_481222|Belgium|2020-04-24	2020.311475409836	Belgium
hCoV-19/Belgium/UGent-126/2020|EPI_ISL_481223|Belgium|2020-06-15	2020.4535519125684	Belgium
hCoV-19/Belgium/UGent-128/2020|EPI_ISL_481224|Belgium|2020-05-15	2020.3688524590164	Belgium
hCoV-19/Belgium/UGent-133/2020|EPI_ISL_481227|Belgium|2020-04-28	2020.3224043715848	Belgium
hCoV-19/Belgium/rega-0309752/2020|EPI_ISL_522349|Belgium|2020-03-09	2020.1857923497269	Belgium
hCoV-19/Belgium/ULG-10276/2020|EPI_ISL_540443|Belgium|2020-07-23	2020.5573770491803	Belgium
hCoV-19/Belgium/ULG-10277/2020|EPI_ISL_540444|Belgium|2020-07-09	2020.51912568306	Belgium
hCoV-19/Belgium/ULG-10278/2020|EPI_ISL_540445|Belgium|2020-07-10	2020.5218579234972	Belgium
hCoV-19/Belgium/ULG-10279/2020|EPI_ISL_540446|Belgium|2020-07-07	2020.5136612021859	Belgium
hCoV-19/Belgium/ULG-10281/2020|EPI_ISL_540448|Belgium|2020-07-26	2020.5655737704917	Belgium
hCoV-19/Belgium/ULG-10282/2020|EPI_ISL_540449|Belgium|2020-07-25	2020.5628415300546	Belgium
hCoV-19/Belgium/ULG-10284/2020|EPI_ISL_540451|Belgium|2020-07-25	2020.5628415300546	Belgium
hCoV-19/Belgium/ULG-10288/2020|EPI_ISL_540455|Belgium|2020-07-08	2020.516393442623	Belgium
hCoV-19/Belgium/ULG-10375/2020|EPI_ISL_540542|Belgium|2020-08-07	2020.5983606557377	Belgium
hCoV-19/Belgium/ULG-10293/2020|EPI_ISL_540460|Belgium|2020-07-23	2020.5573770491803	Belgium
hCoV-19/Belgium/ULG-10299/2020|EPI_ISL_540466|Belgium|2020-07-25	2020.5628415300546	Belgium
hCoV-19/Belgium/ULG-10300/2020|EPI_ISL_540467|Belgium|2020-07-23	2020.5573770491803	Belgium
hCoV-19/Belgium/ULG-10264/2020|EPI_ISL_515071|Belgium|2020-07-11	2020.5245901639344	Belgium
hCoV-19/Belgium/ULG-10337/2020|EPI_ISL_540504|Belgium|2020-07-30	2020.5765027322404	Belgium
hCoV-19/Belgium/ULG-10315/2020|EPI_ISL_540482|Belgium|2020-07-27	2020.568306010929	Belgium
hCoV-19/Belgium/ULG-10316/2020|EPI_ISL_540483|Belgium|2020-07-27	2020.568306010929	Belgium
hCoV-19/Belgium/ULG-10318/2020|EPI_ISL_540485|Belgium|2020-07-27	2020.568306010929	Belgium
hCoV-19/Belgium/ULG-10325/2020|EPI_ISL_540492|Belgium|2020-07-29	2020.5737704918033	Belgium
hCoV-19/Belgium/ULG-10326/2020|EPI_ISL_540493|Belgium|2020-07-29	2020.5737704918033	Belgium
hCoV-19/Belgium/ULG-10331/2020|EPI_ISL_540498|Belgium|2020-07-30	2020.5765027322404	Belgium
hCoV-19/Belgium/un-EMC-1/2020|EPI_ISL_577743|Belgium|2020-04-28	2020.3224043715848	Belgium
hCoV-19/Belgium/un-EMC-5/2020|EPI_ISL_577747|Belgium|2020-08-04	2020.5901639344263	Belgium
hCoV-19/Belgium/ULG-6216/2020|EPI_ISL_417014|Belgium|2020-03-13	2020.1967213114754	Belgium
hCoV-19/Belgium/ULG-6754/2020|EPI_ISL_417019|Belgium|2020-03-14	2020.1994535519125	Belgium
hCoV-19/Belgium/RS-030257/2020|EPI_ISL_418986|Belgium|2020-03-02	2020.1666666666667	Belgium
hCoV-19/Belgium/030959/2020|EPI_ISL_420320|Belgium|2020-03-09	2020.1857923497269	Belgium
